#Source  output Signal,Width,Source Module,Source Instance,F/T TLM1 ,F/T TLM2,F/T TLM13,Destination Module,Destination Instance,Destination  input Signal,Width,
rv64_0_cpu_run_req,      ,sys_top,sys_top_i,tule64_wrapper,tule512_wrapper,ccb_wrapper,rv64ooo_wrapper,rv64ooo_i_0,i_cpu_run_req ,      ,
,      ,,,,,,,,,      ,
,      ,,,,,,,,,      ,
mpc_debug_halt_ack,      ,rv64ooo_wrapper,rv64ooo_i_0,ccb_wrapper,tule512_wrapper,tule64_wrapper,sys_top,sys_top_i,rv64_mpc_debug_halt_ack [0],      ,
mpc_debug_run_ack ,      ,rv64ooo_wrapper,rv64ooo_i_0,ccb_wrapper,tule512_wrapper,tule64_wrapper,sys_top,sys_top_i,rv64_mpc_debug_run_ack [0],      ,
debug_brkpt_status,,rv64ooo_wrapper,rv64ooo_i_0,ccb_wrapper,tule512_wrapper,tule64_wrapper,sys_top,sys_top_i,rv64_debug_brkpt_status [0],,
o_debug_mode_status ,,rv64ooo_wrapper,rv64ooo_i_0,ccb_wrapper,tule512_wrapper,tule64_wrapper,sys_top,sys_top_i,rv64_o_debug_mode_status [0],,
spare_core_out,[7:0],rv64ooo_wrapper,rv64ooo_i_0,ccb_wrapper,tule512_wrapper,tule64_wrapper,sys_top,sys_top_i,rv64_spare_core_out [0],[7:0],
so,,rv64ooo_wrapper,rv64ooo_i_0,ccb_wrapper,tule512_wrapper,tule64_wrapper,sys_top,sys_top_i,rv64_so [0],,
o_cpu_halt_ack,,rv64ooo_wrapper,rv64ooo_i_0,ccb_wrapper,tule512_wrapper,tule64_wrapper,sys_top,sys_top_i,rv64_0_cpu_halt_ack,,
o_cpu_halt_status ,,rv64ooo_wrapper,rv64ooo_i_0,ccb_wrapper,tule512_wrapper,tule64_wrapper,sys_top,sys_top_i,rv64_0_cpu_halt_status,,
o_cpu_run_ack,,rv64ooo_wrapper,rv64ooo_i_0,ccb_wrapper,tule512_wrapper,tule64_wrapper,sys_top,sys_top_i,rv64_0_cpu_run_ack,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
